route_type,adep,ades,origin_iata,origin_city,destination_iata,destination_city,destination_country,total_observed_flights,months_active,known_airline_flights,max_monthly_flights,destination_city_clean,origin_city_clean
International,EDDM,EPKK,MUC,Munich,KRK,Balice,Poland,995,12,909,109,Balice,Munich
International,EDDM,LMML,MUC,Munich,MLA,Valletta,Malta,981,12,444,101,Valletta,Munich
International,EDDM,LFBO,MUC,Munich,TLS,Toulouse/Blagnac,France,967,12,847,119,Toulouse/Blagnac,Munich
International,EDDM,LOWG,MUC,Munich,GRZ,Feldkirchen bei Graz,Austria,949,12,753,89,Feldkirchen bei Graz,Munich
International,EDDM,ESGG,MUC,Munich,GOT,Göteborg,Sweden,914,12,746,94,Göteborg,Munich
International,EDDM,LFLL,MUC,Munich,LYS,"Colombier-Saugnieu, Rhône",France,851,12,709,91,"Colombier-Saugnieu, Rhône",Munich
International,EDDM,LIMF,MUC,Munich,TRN,Caselle Torinese (TO),Italy,844,12,663,87,Caselle Torinese (TO),Munich
International,EDDM,LGTS,MUC,Munich,SKG,Thessaloniki,Greece,832,12,819,104,Thessaloniki,Munich
International,EDDM,LFSB,MUC,Munich,BSL,Bâle / Mulhouse,France,808,12,724,94,Bâle / Mulhouse,Munich
International,EDDM,LYBE,MUC,Munich,BEG,Belgrade,Serbia,743,12,497,112,Belgrade,Munich
International,EDDM,LFML,MUC,Munich,MRS,"Marignane, Bouches-du-Rhône",France,733,12,646,96,"Marignane, Bouches-du-Rhône",Munich
International,EDDM,LLBG,MUC,Munich,TLV,Tel Aviv,Israel,733,12,500,102,Tel Aviv,Munich
International,EDDM,LEMG,MUC,Munich,AGP,Málaga,Spain,693,12,469,77,Málaga,Munich
International,EDDM,LIPX,MUC,Munich,VRN,Caselle (VR),Italy,618,12,451,63,Caselle (VR),Munich
International,EDDM,EPWR,MUC,Munich,WRO,Wrocław,Poland,598,10,560,86,Wrocław,Munich
International,EDDM,LFPB,MUC,Munich,LBG,Paris,France,585,12,252,70,Paris,Munich
International,EDDM,LPPR,MUC,Munich,OPO,Porto,Portugal,583,12,546,66,Porto,Munich
International,EDDM,LOWS,MUC,Munich,SZG,Salzburg,Austria,579,12,10,90,Salzburg,Munich
International,EDDM,LBSF,MUC,Munich,SOF,Sofia,Bulgaria,547,11,459,88,Sofia,Munich
International,EDDM,EVRA,MUC,Munich,RIX,Riga,Latvia,541,12,387,53,Riga,Munich
International,EDDM,LIMJ,MUC,Munich,GOA,Genova (GE),Italy,537,12,416,62,Genova (GE),Munich
